,Bid,Ask,IV,Open Int,Time to Maturity (years),Log Moneyness,Strike,Mid,Inv Spread
1784,0.05,0.1,0.1231,234,0.04657534246575343,0.07396257329536783,3100.0,0.07500000000000001,20.0
348,0.0,0.05,0.1794,1274,0.00821917808219178,0.04947155328707216,3025.0,0.025,20.0
369,0.0,0.05,0.3334,2,0.00821917808219178,0.09786809414892235,3175.0,0.025,20.0
370,0.0,0.05,0.3577,338,0.00821917808219178,0.10571127160994814,3200.0,0.025,20.0
371,0.0,0.05,0.3816,120,0.00821917808219178,0.1134934120520032,3225.0,0.025,20.0
372,0.0,0.05,0.4054,100,0.00821917808219178,0.1212154581459134,3250.0,0.025,20.0
1791,0.0,0.05,0.1541,214,0.04657534246575343,0.10571127160994814,3200.0,0.025,20.0
1792,0.0,0.05,0.1753,1,0.04657534246575343,0.1212154581459134,3250.0,0.025,20.0
1793,0.0,0.05,0.1955,170,0.04657534246575343,0.13648293027670183,3300.0,0.025,20.0
503,0.05,0.1,0.0997,382,0.01643835616438356,0.03280450080186045,2975.0,0.07500000000000001,20.0
349,0.0,0.05,0.1848,124,0.00821917808219178,0.051123081325545126,3030.0,0.025,20.0
1272,0.0,0.05,0.1678,1277,0.024657534246575342,0.08199474499263221,3125.0,0.025,20.0
347,0.0,0.05,0.1743,11,0.00821917808219178,0.04781729319104567,3020.0,0.025,20.0
339,0.0,0.05,0.1299,322,0.00821917808219178,0.03448376232158044,2980.0,0.025,20.0
523,0.0,0.05,0.1863,11,0.01643835616438356,0.07396257329536783,3100.0,0.025,20.0
524,0.0,0.05,0.2047,120,0.01643835616438356,0.08199474499263221,3125.0,0.025,20.0
2140,0.0,0.05,0.2107,4,0.057534246575342465,0.166335893426383,3400.0,0.025,20.0
346,0.0,0.05,0.1688,55,0.00821917808219178,0.04616029198341618,3015.0,0.025,20.0
2139,0.0,0.05,0.1753,421,0.057534246575342465,0.13648293027670183,3300.0,0.025,20.0
2138,0.0,0.05,0.1578,36,0.057534246575342465,0.1212154581459134,3250.0,0.025,20.0
341,0.0,0.05,0.1413,653,0.00821917808219178,0.03783384920686237,2990.0,0.025,20.0
340,0.0,0.05,0.1357,3166,0.00821917808219178,0.036160208648832744,2985.0,0.025,20.0
520,0.0,0.05,0.1677,9,0.01643835616438356,0.06586536306274857,3075.0,0.025,20.0
342,0.0,0.05,0.1471,2171,0.00821917808219178,0.03950469337167996,2995.0,0.025,20.0
113,0.05,0.1,0.1191,2362,0.0027397260273972603,0.01585494248808719,2925.0,0.07500000000000001,20.0
343,0.0,0.05,0.1519,6551,0.00821917808219178,0.04117275047237696,3000.0,0.025,20.0
344,0.0,0.05,0.1582,59,0.00821917808219178,0.04283802979143815,3005.0,0.025,20.0
114,0.0,0.05,0.1149,1896,0.0027397260273972603,0.017562884833243288,2930.0,0.025,20.0
345,0.0,0.05,0.1633,45,0.00821917808219178,0.04450054056505159,3010.0,0.025,20.0
115,0.0,0.05,0.1247,408,0.0027397260273972603,0.0192679150843271,2935.0,0.025,20.0
1582,0.0,0.05,0.1856,1,0.0410958904109589,0.1212154581459134,3250.0,0.025,20.0
111,0.15,0.2,0.1097,942,0.0027397260273972603,0.012430281606723118,2915.0,0.175,19.999999999999993
2113,0.6,0.65,0.0865,7923,0.057534246575342465,0.04117275047237696,3000.0,0.625,19.999999999999982
645,1.05,1.15,0.09,495,0.021917808219178082,0.02097004315485755,2940.0,1.1,10.000000000000014
1907,1.6,1.7,0.0849,119,0.0547945205479452,0.031122414618875646,2970.0,1.65,10.000000000000014
2108,1.55,1.65,0.0858,1640,0.057534246575342465,0.03280450080186045,2975.0,1.6,10.000000000000014
3364,1.55,1.65,0.0919,120,0.10410958904109589,0.051123081325545126,3030.0,1.6,10.000000000000014
4469,1.35,1.45,0.1024,695,0.2,0.08996291464180897,3150.0,1.4,10.000000000000014
4467,1.55,1.65,0.1016,15,0.2,0.08678326172442932,3140.0,1.6,10.000000000000014
3370,1.1,1.2,0.0932,12,0.10410958904109589,0.05606136296612764,3045.0,1.15,10.000000000000014
1202,1.1,1.2,0.0913,1319,0.024657534246575342,0.022669278907817315,2945.0,1.15,10.000000000000014
3788,1.35,1.45,0.0957,3,0.14246575342465753,0.06749005878975045,3080.0,1.4,10.000000000000014
2110,1.05,1.15,0.0859,123,0.057534246575342465,0.036160208648832744,2985.0,1.1,10.000000000000014
2427,1.8,1.9,0.0891,147,0.06575342465753424,0.036160208648832744,2985.0,1.85,10.000000000000014
3796,0.2,0.3,0.1106,262,0.14246575342465753,0.10571127160994814,3200.0,0.25,10.000000000000002
1204,0.85,0.95,0.0918,1019,0.024657534246575342,0.02436563215599572,2950.0,0.8999999999999999,10.000000000000002
1206,0.65,0.75,0.0924,1200,0.024657534246575342,0.026059112662328764,2955.0,0.7,10.000000000000002
1208,0.5,0.6,0.0932,663,0.024657534246575342,0.027749730140236226,2960.0,0.55,10.000000000000002
327,0.75,0.85,0.0997,9377,0.00821917808219178,0.014144078084457773,2920.0,0.8,10.000000000000002
1214,0.2,0.3,0.0948,2426,0.024657534246575342,0.03280450080186045,2975.0,0.25,10.000000000000002
1561,0.25,0.35,0.0887,9,0.0410958904109589,0.03950469337167996,2995.0,0.3,10.000000000000002
1416,0.55,0.65,0.0828,64,0.03561643835616438,0.02943749425395619,2965.0,0.6000000000000001,10.000000000000002
2119,0.2,0.3,0.0913,282,0.057534246575342465,0.051123081325545126,3030.0,0.25,10.000000000000002
3586,0.65,0.75,0.0994,176,0.1232876712328767,0.07396257329536783,3100.0,0.7,10.000000000000002
109,0.5,0.6,0.1053,1139,0.0027397260273972603,0.00899385210814179,2905.0,0.55,10.000000000000002
110,0.25,0.35,0.1066,1075,0.0027397260273972603,0.010713542987668584,2910.0,0.3,10.000000000000002
1562,0.2,0.3,0.0895,1659,0.0410958904109589,0.04117275047237696,3000.0,0.25,10.000000000000002
2118,0.25,0.35,0.0908,63,0.057534246575342465,0.04947155328707216,3025.0,0.3,10.000000000000002
1559,0.4,0.5,0.0874,12,0.0410958904109589,0.036160208648832744,2985.0,0.45,10.000000000000002
1558,0.5,0.6,0.0867,156,0.0410958904109589,0.03448376232158044,2980.0,0.55,10.000000000000002
2431,0.9,1.0,0.0896,154,0.06575342465753424,0.04283802979143815,3005.0,0.95,10.000000000000002
2115,0.4,0.5,0.0878,160,0.057534246575342465,0.04450054056505159,3010.0,0.45,10.000000000000002
1766,0.25,0.35,0.0919,38,0.04657534246575343,0.04450054056505159,3010.0,0.3,10.000000000000002
1767,0.2,0.3,0.0926,187,0.04657534246575343,0.04616029198341618,3015.0,0.25,10.000000000000002
3400,0.25,0.35,0.1059,111,0.10410958904109589,0.08199474499263221,3125.0,0.3,10.000000000000002
1420,0.2,0.3,0.0861,50,0.03561643835616438,0.036160208648832744,2985.0,0.25,10.000000000000002
1419,0.25,0.35,0.0848,1055,0.03561643835616438,0.03448376232158044,2980.0,0.3,10.000000000000002
4483,0.4,0.5,0.1126,488,0.2,0.1212154581459134,3250.0,0.45,10.000000000000002
2434,0.55,0.65,0.0911,34,0.06575342465753424,0.04781729319104567,3020.0,0.6000000000000001,10.000000000000002
2436,0.4,0.5,0.0923,58,0.06575342465753424,0.051123081325545126,3030.0,0.45,10.000000000000002
4487,0.25,0.35,0.1193,326,0.2,0.13648293027670183,3300.0,0.3,10.000000000000002
646,0.8,0.9,0.0906,165,0.021917808219178082,0.022669278907817315,2945.0,0.8500000000000001,10.000000000000002
650,0.25,0.35,0.094,803,0.021917808219178082,0.02943749425395619,2965.0,0.3,10.000000000000002
2433,0.65,0.75,0.0906,50,0.06575342465753424,0.04616029198341618,3015.0,0.7,10.000000000000002
495,0.5,0.6,0.0847,654,0.01643835616438356,0.0192679150843271,2935.0,0.55,10.000000000000002
497,0.2,0.3,0.0847,549,0.01643835616438356,0.022669278907817315,2945.0,0.25,10.000000000000002
512,0.0,0.1,0.1333,296,0.01643835616438356,0.04781729319104567,3020.0,0.05,10.0
509,0.0,0.1,0.1208,78,0.01643835616438356,0.04283802979143815,3005.0,0.05,10.0
504,0.0,0.1,0.0996,71,0.01643835616438356,0.03448376232158044,2980.0,0.05,10.0
506,0.0,0.1,0.1083,26,0.01643835616438356,0.03783384920686237,2990.0,0.05,10.0
505,0.0,0.1,0.104,2,0.01643835616438356,0.036160208648832744,2985.0,0.05,10.0
507,0.0,0.1,0.1126,5,0.01643835616438356,0.03950469337167996,2995.0,0.05,10.0
508,0.0,0.1,0.1166,404,0.01643835616438356,0.04117275047237696,3000.0,0.05,10.0
510,0.0,0.1,0.1255,14,0.01643835616438356,0.04450054056505159,3010.0,0.05,10.0
653,0.1,0.2,0.0979,100,0.021917808219178082,0.03448376232158044,2980.0,0.15000000000000002,10.0
513,0.0,0.1,0.1381,233,0.01643835616438356,0.04947155328707216,3025.0,0.05,10.0
672,0.0,0.1,0.1725,116,0.021917808219178082,0.07396257329536783,3100.0,0.05,10.0
657,0.0,0.1,0.1012,285,0.021917808219178082,0.04117275047237696,3000.0,0.05,10.0
662,0.0,0.1,0.1193,45,0.021917808219178082,0.04947155328707216,3025.0,0.05,10.0
663,0.0,0.1,0.1229,294,0.021917808219178082,0.051123081325545126,3030.0,0.05,10.0
666,0.0,0.1,0.137,156,0.021917808219178082,0.05770205242358753,3050.0,0.05,10.0
669,0.0,0.1,0.1553,19,0.021917808219178082,0.06586536306274857,3075.0,0.05,10.0
652,0.15,0.25,0.0973,315,0.021917808219178082,0.03280450080186045,2975.0,0.2,10.0
2872,0.0,0.1,0.138,4,0.08493150684931507,0.1212154581459134,3250.0,0.05,10.0
516,0.0,0.1,0.1499,10,0.01643835616438356,0.05441797722239764,3040.0,0.05,10.0
2868,0.1,0.2,0.1079,100,0.08493150684931507,0.08199474499263221,3125.0,0.15000000000000002,10.0
3406,0.15,0.25,0.1096,27,0.10410958904109589,0.08996291464180897,3150.0,0.2,10.0
3412,0.1,0.2,0.1146,7,0.10410958904109589,0.09786809414892235,3175.0,0.15000000000000002,10.0
3422,0.0,0.1,0.1393,389,0.10410958904109589,0.13648293027670183,3300.0,0.05,10.0
654,0.05,0.15,0.0973,294,0.021917808219178082,0.036160208648832744,2985.0,0.1,10.0
517,0.0,0.1,0.158,5,0.01643835616438356,0.05770205242358753,3050.0,0.05,10.0
3424,0.0,0.1,0.1666,305,0.10410958904109589,0.166335893426383,3400.0,0.05,10.0
4499,0.0,0.1,0.192,153,0.2,0.27756152853660737,3800.0,0.05,10.0
1216,0.15,0.25,0.096,423,0.024657534246575342,0.03448376232158044,2980.0,0.2,10.0
2131,0.05,0.15,0.114,175,0.057534246575342465,0.07396257329536783,3100.0,0.1,10.0
1435,0.0,0.1,0.1224,38,0.03561643835616438,0.06586536306274857,3075.0,0.05,10.0
1438,0.0,0.1,0.1359,52,0.03561643835616438,0.07396257329536783,3100.0,0.05,10.0
1439,0.0,0.1,0.1493,296,0.03561643835616438,0.08199474499263221,3125.0,0.05,10.0
1567,0.05,0.15,0.0942,25,0.0410958904109589,0.04947155328707216,3025.0,0.1,10.0
1577,0.0,0.1,0.1266,41,0.0410958904109589,0.07396257329536783,3100.0,0.05,10.0
1578,0.0,0.1,0.139,3,0.0410958904109589,0.08199474499263221,3125.0,0.05,10.0
1579,0.0,0.1,0.1509,70,0.0410958904109589,0.08996291464180897,3150.0,0.05,10.0
2137,0.0,0.1,0.1476,173,0.057534246575342465,0.10571127160994814,3200.0,0.05,10.0
2135,0.0,0.1,0.1273,81,0.057534246575342465,0.08996291464180897,3150.0,0.05,10.0
2134,0.05,0.15,0.1251,18,0.057534246575342465,0.08199474499263221,3125.0,0.1,10.0
2130,0.05,0.15,0.1095,11,0.057534246575342465,0.07073155271392141,3090.0,0.1,10.0
1433,0.0,0.1,0.1141,7,0.03561643835616438,0.06097537776855663,3060.0,0.05,10.0
2128,0.05,0.15,0.1027,472,0.057534246575342465,0.06586536306274857,3075.0,0.1,10.0
2121,0.15,0.25,0.0938,25,0.057534246575342465,0.05441797722239764,3040.0,0.2,10.0
1769,0.15,0.25,0.0957,256,0.04657534246575343,0.04947155328707216,3025.0,0.2,10.0
1771,0.1,0.2,0.0978,16,0.04657534246575343,0.05277188631572892,3035.0,0.15000000000000002,10.0
1773,0.05,0.15,0.0987,4,0.04657534246575343,0.05606136296612764,3045.0,0.1,10.0
1774,0.05,0.15,0.1012,424,0.04657534246575343,0.05770205242358753,3050.0,0.1,10.0
1776,0.05,0.15,0.1064,8,0.04657534246575343,0.06097537776855663,3060.0,0.1,10.0
1788,0.0,0.1,0.1303,55,0.04657534246575343,0.08199474499263221,3125.0,0.05,10.0
1789,0.0,0.1,0.1414,58,0.04657534246575343,0.08996291464180897,3150.0,0.05,10.0
1928,0.0,0.1,0.131,134,0.0547945205479452,0.08996291464180897,3150.0,0.05,10.0
1434,0.0,0.1,0.1196,21,0.03561643835616438,0.06423802340337319,3070.0,0.05,10.0
1431,0.0,0.1,0.1023,27,0.03561643835616438,0.05441797722239764,3040.0,0.05,10.0
1220,0.1,0.2,0.1004,332,0.024657534246575342,0.03783384920686237,2990.0,0.15000000000000002,10.0
1254,0.0,0.1,0.1467,154,0.024657534246575342,0.06586536306274857,3075.0,0.05,10.0
1222,0.05,0.15,0.0994,184,0.024657534246575342,0.03950469337167996,2995.0,0.1,10.0
1224,0.05,0.15,0.1031,1581,0.024657534246575342,0.04117275047237696,3000.0,0.1,10.0
1228,0.0,0.1,0.1026,1314,0.024657534246575342,0.04450054056505159,3010.0,0.05,10.0
1240,0.0,0.1,0.1226,69,0.024657534246575342,0.05441797722239764,3040.0,0.05,10.0
1242,0.0,0.1,0.1259,6,0.024657534246575342,0.05606136296612764,3045.0,0.05,10.0
1244,0.0,0.1,0.1299,534,0.024657534246575342,0.05770205242358753,3050.0,0.05,10.0
1246,0.0,0.1,0.1329,5,0.024657534246575342,0.059340054427825896,3055.0,0.05,10.0
1248,0.0,0.1,0.1368,913,0.024657534246575342,0.06097537776855663,3060.0,0.05,10.0
1250,0.0,0.1,0.1401,27,0.024657534246575342,0.06260803119244214,3065.0,0.05,10.0
1252,0.0,0.1,0.1434,624,0.024657534246575342,0.06423802340337319,3070.0,0.05,10.0
1256,0.0,0.1,0.1499,357,0.024657534246575342,0.06749005878975045,3080.0,0.05,10.0
1430,0.0,0.1,0.0996,10,0.03561643835616438,0.05277188631572892,3035.0,0.05,10.0
1260,0.0,0.1,0.1564,343,0.024657534246575342,0.07073155271392141,3090.0,0.05,10.0
1264,0.0,0.1,0.1629,512,0.024657534246575342,0.07396257329536783,3100.0,0.05,10.0
501,0.05,0.15,0.0936,25,0.01643835616438356,0.02943749425395619,2965.0,0.1,10.0
2459,0.0,0.1,0.1746,265,0.06575342465753424,0.13648293027670183,3300.0,0.05,10.0
2457,0.0,0.1,0.1379,30,0.06575342465753424,0.10571127160994814,3200.0,0.05,10.0
2454,0.05,0.15,0.1168,4,0.06575342465753424,0.08199474499263221,3125.0,0.1,10.0
2447,0.1,0.2,0.1047,25,0.06575342465753424,0.06911211916161847,3085.0,0.15000000000000002,10.0
2444,0.15,0.25,0.1013,26,0.06575342465753424,0.06423802340337319,3070.0,0.2,10.0
1421,0.15,0.25,0.0869,50,0.03561643835616438,0.03783384920686237,2990.0,0.2,10.0
1423,0.1,0.2,0.0902,146,0.03561643835616438,0.04117275047237696,3000.0,0.15000000000000002,10.0
502,0.05,0.15,0.0983,328,0.01643835616438356,0.031122414618875646,2970.0,0.1,10.0
2873,0.0,0.1,0.154,129,0.08493150684931507,0.13648293027670183,3300.0,0.05,10.0
500,0.05,0.15,0.0889,551,0.01643835616438356,0.027749730140236226,2960.0,0.1,10.0
331,0.1,0.2,0.1023,2557,0.00821917808219178,0.02097004315485755,2940.0,0.15000000000000002,10.0
4497,0.0,0.1,0.1748,57,0.2,0.25089328145444606,3700.0,0.05,10.0
3959,0.0,0.1,0.1336,241,0.16164383561643836,0.166335893426383,3400.0,0.05,10.0
3799,0.0,0.1,0.1422,244,0.14246575342465753,0.166335893426383,3400.0,0.05,10.0
3798,0.05,0.15,0.1265,228,0.14246575342465753,0.13648293027670183,3300.0,0.1,10.0
3797,0.1,0.2,0.1182,12,0.14246575342465753,0.1212154581459134,3250.0,0.15000000000000002,10.0
4495,0.0,0.1,0.1574,1045,0.2,0.22349430726633163,3600.0,0.05,10.0
330,0.15,0.25,0.0993,3356,0.00821917808219178,0.0192679150843271,2935.0,0.2,10.0
332,0.05,0.15,0.1038,1893,0.00821917808219178,0.022669278907817315,2945.0,0.1,10.0
333,0.05,0.15,0.1103,5141,0.00821917808219178,0.02436563215599572,2950.0,0.1,10.0
335,0.0,0.1,0.1144,453,0.00821917808219178,0.027749730140236226,2960.0,0.05,10.0
4493,0.0,0.1,0.1389,159,0.2,0.19532343029963528,3500.0,0.05,10.0
498,0.15,0.25,0.0872,362,0.01643835616438356,0.02436563215599572,2950.0,0.2,10.0
499,0.1,0.2,0.0888,149,0.01643835616438356,0.026059112662328764,2955.0,0.15000000000000002,10.0
2438,0.3,0.4,0.0941,36,0.06575342465753424,0.05441797722239764,3040.0,0.35,9.999999999999996
3396,0.3,0.4,0.1024,149,0.10410958904109589,0.07718318799541,3110.0,0.35,9.999999999999996
1212,0.3,0.4,0.0953,331,0.024657534246575342,0.031122414618875646,2970.0,0.35,9.999999999999996
1210,0.35,0.45,0.0928,15193,0.024657534246575342,0.02943749425395619,2965.0,0.4,9.999999999999996
2114,0.45,0.55,0.0863,74,0.057534246575342465,0.04283802979143815,3005.0,0.5,9.999999999999996
2117,0.3,0.4,0.0901,20,0.057534246575342465,0.04781729319104567,3020.0,0.35,9.999999999999996
2116,0.35,0.45,0.089,64,0.057534246575342465,0.04616029198341618,3015.0,0.4,9.999999999999996
2437,0.35,0.45,0.0933,10,0.06575342465753424,0.05277188631572892,3035.0,0.4,9.999999999999996
496,0.3,0.4,0.0838,304,0.01643835616438356,0.02097004315485755,2940.0,0.35,9.999999999999996
1765,0.3,0.4,0.0909,46,0.04657534246575343,0.04283802979143815,3005.0,0.35,9.999999999999996
649,0.3,0.4,0.0915,131,0.021917808219178082,0.027749730140236226,2960.0,0.35,9.999999999999996
1763,0.45,0.55,0.0895,59,0.04657534246575343,0.03950469337167996,2995.0,0.5,9.999999999999996
3790,0.95,1.05,0.0977,3371,0.14246575342465753,0.07396257329536783,3100.0,1.0,9.999999999999991
3358,2.3,2.4,0.0917,178,0.10410958904109589,0.04616029198341618,3015.0,2.3499999999999996,9.999999999999991
494,0.7,0.8,0.0837,490,0.01643835616438356,0.017562884833243288,2930.0,0.75,9.999999999999991
493,1.0,1.1,0.0833,1132,0.01643835616438356,0.01585494248808719,2925.0,1.05,9.999999999999991
492,1.45,1.55,0.0836,644,0.01643835616438356,0.014144078084457773,2920.0,1.5,9.999999999999991
2426,2.15,2.25,0.0893,1185,0.06575342465753424,0.03448376232158044,2980.0,2.2,9.999999999999991
4475,0.95,1.05,0.1043,806,0.2,0.09786809414892235,3175.0,1.0,9.999999999999991
4479,0.7,0.8,0.1069,1159,0.2,0.10571127160994814,3200.0,0.75,9.999999999999991
3356,2.6,2.7,0.0916,207,0.10410958904109589,0.04450054056505159,3010.0,2.6500000000000004,9.999999999999991
1761,0.7,0.8,0.0889,29,0.04657534246575343,0.036160208648832744,2985.0,0.75,9.999999999999991
2107,1.9,2.0,0.086,15828,0.057534246575342465,0.031122414618875646,2970.0,1.95,9.999999999999991
2112,0.7,0.8,0.0862,146,0.057534246575342465,0.03950469337167996,2995.0,0.75,9.999999999999991
1911,0.7,0.8,0.0852,7,0.0547945205479452,0.03783384920686237,2990.0,0.75,9.999999999999991
3360,2.0,2.1,0.0916,135,0.10410958904109589,0.04781729319104567,3020.0,2.05,9.999999999999991
1762,0.55,0.7,0.0895,136,0.04657534246575343,0.03783384920686237,2990.0,0.625,6.6666666666666705
1759,1.05,1.2,0.0885,469,0.04657534246575343,0.03280450080186045,2975.0,1.125,6.6666666666666705
2844,2.0,2.15,0.0899,171,0.08493150684931507,0.04117275047237696,3000.0,2.075,6.6666666666666705
3354,2.95,3.1,0.0917,395,0.10410958904109589,0.04283802979143815,3005.0,3.0250000000000004,6.6666666666666705
2846,1.5,1.65,0.0902,2952,0.08493150684931507,0.04450054056505159,3010.0,1.575,6.6666666666666705
1758,1.3,1.45,0.0884,225,0.04657534246575343,0.031122414618875646,2970.0,1.375,6.6666666666666705
1757,1.6,1.75,0.0883,102,0.04657534246575343,0.02943749425395619,2965.0,1.675,6.6666666666666705
2843,2.35,2.5,0.0901,34,0.08493150684931507,0.03950469337167996,2995.0,2.425,6.6666666666666705
2842,2.7,2.85,0.09,4159,0.08493150684931507,0.03783384920686237,2990.0,2.7750000000000004,6.6666666666666705
1756,2.0,2.15,0.0887,1331,0.04657534246575343,0.027749730140236226,2960.0,2.075,6.6666666666666705
2848,1.1,1.25,0.0904,132,0.08493150684931507,0.04781729319104567,3020.0,1.175,6.6666666666666705
324,2.6,2.75,0.1023,2144,0.00821917808219178,0.00899385210814179,2905.0,2.675,6.6666666666666705
1196,2.45,2.6,0.0921,1560,0.024657534246575342,0.017562884833243288,2930.0,2.5250000000000004,6.6666666666666705
108,1.0,1.15,0.1073,1862,0.0027397260273972603,0.007271198796695605,2900.0,1.075,6.6666666666666705
1552,2.0,2.15,0.0861,130,0.0410958904109589,0.02436563215599572,2950.0,2.075,6.6666666666666705
1553,1.6,1.75,0.086,18,0.0410958904109589,0.026059112662328764,2955.0,1.675,6.6666666666666705
2428,1.5,1.65,0.0893,559,0.06575342465753424,0.03783384920686237,2990.0,1.575,6.6666666666666705
2429,1.25,1.4,0.0893,205,0.06575342465753424,0.03950469337167996,2995.0,1.325,6.6666666666666705
